Date,Stock,weight
2024-08-26,HCLTECH,0.5
2024-09-02,MARUTI,0.5
2024-09-02,HINDUNILVR,0.5
2024-09-09,INFY,0.5
2024-09-09,TCS,0.5
2024-09-16,INFY,0.5
2024-09-16,HDFCBANK,0.5
2024-09-23,HCLTECH,0.5
2024-09-23,INFY,0.5
2024-09-30,HDFCBANK,0.5
2024-09-30,INFY,0.5
2024-10-07,HINDUNILVR,0.5
2024-10-07,HCLTECH,0.5
2024-10-14,BAJFINANCE,0.5
2024-10-14,MARUTI,0.5
2024-10-21,HINDUNILVR,0.5
2024-10-21,BAJFINANCE,0.5
2024-10-28,MARUTI,0.5
2024-10-28,HDFCBANK,0.5
2024-11-04,HCLTECH,0.5
2024-11-04,TCS,0.5
2024-11-11,BAJFINANCE,0.5
2024-11-11,RELIANCE,0.5
2024-11-18,TCS,0.5
2024-11-18,INFY,0.5
2024-11-25,MARUTI,0.5
2024-11-25,HCLTECH,0.5
2024-12-02,RELIANCE,0.5
2024-12-02,HCLTECH,0.5
2024-12-09,RELIANCE,0.5
2024-12-09,INFY,0.5
2024-12-16,MARUTI,0.5
2024-12-16,RELIANCE,0.5
2024-12-23,HDFCBANK,0.5
2024-12-23,MARUTI,0.5
2024-12-30,TCS,0.5
2024-12-30,RELIANCE,0.5
2025-01-06,HDFCBANK,0.5
2025-01-06,BHARTIARTL,0.5
2025-01-13,HDFCBANK,0.5
2025-01-13,BAJFINANCE,0.5
2025-01-20,HDFCBANK,0.5
2025-01-20,TCS,0.5
2025-01-27,RELIANCE,0.5
2025-01-27,BAJFINANCE,0.5
2025-02-03,HINDUNILVR,0.5
2025-02-03,HCLTECH,0.5
2025-02-10,RELIANCE,0.5
2025-02-10,HCLTECH,0.5
2025-02-17,TCS,0.5
2025-02-17,MARUTI,0.5
2025-02-24,ICICIBANK,0.5
2025-02-24,HCLTECH,0.5
2025-03-03,HDFCBANK,0.5
2025-03-03,HINDUNILVR,0.5
2025-03-10,MARUTI,0.5
2025-03-10,BAJFINANCE,0.5
2025-03-17,HINDUNILVR,0.5
2025-03-17,BAJFINANCE,0.5
2025-03-24,TCS,0.5
2025-03-24,BAJFINANCE,0.5
2025-03-31,INFY,0.5
2025-03-31,BAJFINANCE,0.5
2025-04-07,HCLTECH,0.5
2025-04-07,BHARTIARTL,0.5
2025-04-14,HCLTECH,0.5
2025-04-14,BAJFINANCE,0.5
2025-04-21,HCLTECH,0.5
2025-04-21,BAJFINANCE,0.5
2025-04-28,TCS,0.5
2025-04-28,BHARTIARTL,0.5
2025-05-05,TCS,0.5
2025-05-05,INFY,0.5
2025-05-12,HINDUNILVR,0.5
2025-05-12,INFY,0.5
2025-05-19,HDFCBANK,0.5
2025-05-19,ICICIBANK,0.5
2025-05-26,TCS,0.5
2025-05-26,HDFCBANK,0.5
2025-06-02,RELIANCE,0.5
2025-06-02,HCLTECH,0.5
2025-06-09,ICICIBANK,0.5
2025-06-09,HINDUNILVR,0.5
2025-06-16,HINDUNILVR,0.5
2025-06-16,BHARTIARTL,0.5
2025-06-23,HCLTECH,0.5
2025-06-23,HINDUNILVR,0.5
2025-06-30,RELIANCE,0.5
2025-06-30,MARUTI,0.5
2025-07-07,RELIANCE,0.5
2025-07-07,TCS,0.5
2025-07-14,HCLTECH,0.5
2025-07-14,RELIANCE,0.5
2025-07-21,ICICIBANK,0.5
2025-07-21,MARUTI,0.5
2025-07-28,HINDUNILVR,0.5
2025-07-28,ICICIBANK,0.5
2025-08-04,ICICIBANK,0.5
2025-08-04,INFY,0.5
2025-08-11,ICICIBANK,0.5
2025-08-11,HDFCBANK,0.5
2025-08-18,HCLTECH,0.5
2025-08-18,HDFCBANK,0.5
2025-08-25,INFY,0.5
2025-08-25,BAJFINANCE,0.5
2025-09-01,INFY,0.5
2025-09-01,BAJFINANCE,0.5
2025-09-08,INFY,0.5
2025-09-08,HCLTECH,0.5
2025-09-15,HCLTECH,0.5
2025-09-15,BHARTIARTL,0.5
2025-09-22,ICICIBANK,0.5
2025-09-22,HDFCBANK,0.5
2025-09-29,ICICIBANK,0.5
2025-09-29,INFY,0.5
2025-10-06,TCS,0.5
2025-10-06,INFY,0.5
2025-10-13,INFY,0.5
2025-10-13,HCLTECH,0.5
2025-10-20,HDFCBANK,0.5
2025-10-20,ICICIBANK,0.5
2025-10-27,MARUTI,0.5
2025-10-27,ICICIBANK,0.5
2025-11-03,ICICIBANK,0.5
2025-11-03,HDFCBANK,0.5
2025-11-10,HINDUNILVR,0.5
2025-11-10,INFY,0.5
2025-11-17,HDFCBANK,0.5
2025-11-17,MARUTI,0.5
2025-11-24,BAJFINANCE,0.5
2025-11-24,HDFCBANK,0.5
2025-12-01,HDFCBANK,0.5
2025-12-01,BAJFINANCE,0.5
2025-12-08,RELIANCE,0.5
2025-12-08,MARUTI,0.5
2025-12-15,ICICIBANK,0.5
2025-12-15,MARUTI,0.5
2025-12-22,HDFCBANK,0.5
2025-12-22,ICICIBANK,0.5
2025-12-29,RELIANCE,0.5
2025-12-29,BHARTIARTL,0.5
